,eps Car A,ICRS,8,22,30.833784,-59,30,34.13052,-25.3,22.7,11.6,NA,2.01
,alf Ari,ICRS,2,7,10.4057,23,27,44.7032,188.55,-148.08,-14.41,49.56,2.01
,bet Cet,ICRS,0,43,35.3709,-17,59,11.7827,232.55,31.99,13.26,33.86,2.01
,alf UMi,ICRS,2,31,49.09456,89,15,50.7923,44.48,-11.85,-16.42,7.54,2.02
,tet Cen,ICRS,14,6,40.94752,-36,22,11.8371,-520.53,-518.06,1.3,55.45,2.05
,bet And,ICRS,1,9,43.92388,35,37,14.0075,175.9,-112.2,0.06,16.52,2.05
,kap Ori,ICRS,5,47,45.3888404,-9,40,10.577707,1.46,-1.28,20.5,5.04,2.06
,alf And,ICRS,0,8,23.25988,29,5,25.552,137.46,-163.44,-10.1,33.62,2.06
,sig Sgr,ICRS,18,55,15.9265,-26,17,48.2068,15.14,-53.43,-11.2,14.32,2.067
,alf Oph,ICRS,17,34,56.06945,12,33,36.1346,108.07,-221.57,11.7,67.13,2.07
,bet UMi,ICRS,14,50,42.3258,74,9,19.8142,-32.61,11.42,16.96,24.91,2.08
,gam01 And,ICRS,2,3,53.95229,42,19,47.0223,42.32,-49.3,-11.5,8.3,2.1
,bet Gru,ICRS,22,42,40.05027,-46,53,4.4752,135.16,-4.38,-0.3,18.43,2.11
,bet Per,ICRS,3,8,10.1324535,40,57,20.328013,2.99,-1.66,4,36.27,2.12
,bet Leo,ICRS,11,49,3.57834,14,34,19.409,-497.68,-114.67,-0.2,90.91,2.13
,gam Cen,ICRS,12,41,31.04008,-48,57,35.5375,-185.72,5.79,-5.5,25.06,2.17
,lam Vel,ICRS,9,7,59.75787,-43,25,57.3273,-24.01,13.52,17.6,5.99,2.21
,zet01 UMa,ICRS,13,23,55.542873,54,55,31.30258,121.2,-22,-5.6,39.4,2.22
,alf Cas,ICRS,0,40,30.4410679,56,32,14.39217,50.88,-32.13,-4.2,14.29,2.23
,gam Cyg,ICRS,20,22,13.7018357,40,15,24.044963,2.39,-0.91,-5.91,1.78,2.23
,gam Dra,ICRS,17,56,36.36988,51,29,20.0242,-8.48,-22.79,-27.91,21.14,2.23
,alf CrB,ICRS,15,34,41.268,26,42,52.894,120.27,-89.58,1.7,43.46,2.24
,zet Pup,ICRS,8,3,35.04754,-40,0,11.3321,-29.71,16.68,-23.9,3.01,2.25
